cod;nombre;;categoria;tipo;stock;costo_unit;valor_inventario;accion_sugerida
388;CREMA DE MACADAMIA CON NIBS X KILO;;DESARROLLO DE PRODUCTO;Producto en proceso;0;1;0;CANDIDATO ANULAR — sin stock
393;CREMA DE MACADAMIA CON NIBS OS 60 GRS;;DESARROLLO DE PRODUCTO;Producto en proceso;0;6696;0;CANDIDATO ANULAR — sin stock
394;CREMA DE MACADAMIA CON NIBS OS 110 GRS;;DESARROLLO DE PRODUCTO;Producto en proceso;0;10332;0;CANDIDATO ANULAR — sin stock
395;CREMA DE MACADAMIA CON NIBS OS 200 GRS;;DESARROLLO DE PRODUCTO;Producto en proceso;0;16672;0;CANDIDATO ANULAR — sin stock
415;O01.01. Papeleria;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
416;O01.02. Impuestos;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
417;O01.03. Gastos de publicidad e imagen;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
418;O01.04. Gastos desarrollo de producto;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
419;O01.05. Fletes Ventas OS;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
420;O01.06. Gastos de Venta OS;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
421;O01.07. Software;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
422;O01.08. Gestiones administrativas y legales;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
423;O01.09. Viaticos;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
424;O01.10. Gastos Bancarios;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
425;O01.11. Arriendo;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
426;O01.12. Servicios Publicos;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
427;O01.13. Ferreteria;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
428;O01.14. Feria viaticos y general;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
429;O01.15. Feria gastos de venta;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
430;O01.16. Feria insumos;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
431;O01.17. Gastos en mejoras y varios;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
432;O01.18. Uniformes y dotacion;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
433;O01.19. Consumibles produccion;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
434;O01.20. Gastos Generales;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
435;O01.21. Tecnologia;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
436;O01.22. Fletes compras;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
437;O01.23. Estudios de mercado y competencia;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
438;O01.30. Por Identificar;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
439;O06.01. Herramientas;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
440;O06.02. Maquinas;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
441;O06.03. Activos Muebles;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
442;O06.04. Activos Fijos y reformas;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
443;O06.05. Vehiculos;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
444;O06.06. Tecnologia;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
445;O06.07. Molderia general;;GASTOS;Servicio;0;0;0;NO TOCAR (catálogo permanente)
